Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A1.42,  43.55209843312469, nan d, -182.1917299712955, Wrong Period,  10.891815499259367 d, no values d, Wrong t0 value, Transit not found
Planet A1.43,  32.40918898939501, 65.01225 d, 0.020306441815279186, Wrong Period,  14.144759477400855 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.44,  74.36208117729345, 8.78071 d, 0.0014074657598657225, Wrong Period,  59.29422679013442 d, 5.77549 d, Wrong t0 value, Transit not found
Planet A1.45,  29.29865400584876, 8.78071 d, 0.0014074657598657225, Wrong Period,  4.389500827926035 d, 2.35335 d, Correct t0 value, Transit not found
Planet A1.46,  38.306446005016106, 363.23447 d, 0.13423280726283338, Wrong Period,  5.860980626168993 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A1.47,  13.670866774494547, 65.01225 d, 0.020306441815279186, Wrong Period,  0.9610235983500574 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.48,  5.494546385779891, 5.49441 d, 0.0010043098839322973, Correct Period,  4.202429430487649 d, 4.19977 d, Correct t0 value, Found Correct Transit
Planet A1.49,  27.609407942389993, 75.80631 d, 0.024928975549059373, Wrong Period,  22.468062976098906 d, 5.65707 d, Wrong t0 value, Transit not found
Planet A1.50,  63.54260167396337, 218.41384 d, 0.17035172894780715, Wrong Period,  35.12334057039466 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.51,  0.6053629191500237, 0.60536 d, 7.957040411810112e-05, Correct Period,  0.5063029235324072 d, 0.50337 d, Correct t0 value, Found Correct Transit
Planet A1.52,  47.32280110063216, 7.99926 d, 0.001657190366949557, Wrong Period,  45.03851222074453 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A1.53,  55.079053731461336, 67.39779 d, 0.014205943940993393, Wrong Period,  40.38920702394062 d, 52.02299 d, Wrong t0 value, Transit not found
Planet A1.54,  40.69629131832934, 2.29408 d, 0.00023507023856650378, Wrong Period,  34.18624586312388 d, 1.16562 d, Wrong t0 value, Transit not found
Planet A1.55,  34.00094599774179, 21.05558 d, 0.004517501571520199, Wrong Period,  4.457920587505265 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.56,  33.4631313590313, 7.99926 d, 0.001657190366949557, Wrong Period,  5.878803253815417 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A1.57,  53.918213395197014, 67.39779 d, 0.014205943940993393, Wrong Period,  8.224979553796858 d, 52.02299 d, Wrong t0 value, Transit not found
Planet A1.58,  70.65109092051355, 8.78071 d, 0.0014074657598657225, Wrong Period,  28.787523200178615 d, 5.77549 d, Wrong t0 value, Transit not found
Planet A1.59,  4.384479054432575, 4.38424 d, 0.001486769232708962, Correct Period,  0.5901117504800902 d, 0.59708 d, Correct t0 value, Found Correct Transit
Planet A1.60,  65.39577975854058, 2.29408 d, 0.00023507023856650378, Wrong Period,  34.86756458742455 d, 1.16515 d, Wrong t0 value, Transit not found
Planet A1.61,  12.660996067734064, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  10.061998648326005 d, 0.46362 d, Wrong t0 value, Transit not found
Planet A1.62,  47.37137059129448, 65.01225 d, 0.020306441815279186, Wrong Period,  33.634794134295525 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.63,  36.704900769054255, 218.41384 d, 0.17035172894780715, Wrong Period,  19.48639454185207 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.64,  62.59065754966054, 65.01225 d, 0.020306441815279186, Correct Period,  40.22992110062429 d, 27.48720 d, Wrong t0 value, Transit not found
