Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G8 star
Planet A1.42,  12.561005436418505, 251.68550 d, 0.4523758075343238, Wrong Period,  8.32409248644481 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A1.43,  24.71133599062016, 226.72572 d, 0.286420362973999, Wrong Period,  20.498514928993735 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A1.44,  22.377907683278327, 4.82069 d, 0.0008435640949762124, Wrong Period,  19.42122150365065 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A1.45,  52.22587841665663, 360.29728 d, 1.3939340618412643, Wrong Period,  2.828975912001969 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A1.46,  13.744591811687801, 251.68550 d, 0.4936085771821723, Wrong Period,  8.54767858569739 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A1.47,  9.416489365044031, 202.97027 d, 0.3089035266817177, Wrong Period,  4.306451448939488 d, 179.53665 d, Wrong t0 value, Transit not found
Planet A1.48,  8.091131658278119, 202.97027 d, 0.3397249976594452, Wrong Period,  1.792165316174607 d, 179.53665 d, Wrong t0 value, Transit not found
Planet A1.49,  34.68832549385324, 2.04368 d, 0.00013432601097074226, Wrong Period,  3.466021495163597 d, 1.03212 d, Correct t0 value, Transit not found
Planet A1.50,  53.76312689719903, 360.29728 d, 1.3939340618412643, Wrong Period,  26.721780731053027 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A1.51,  6.192162389274075, 4.82069 d, 0.0010543936219278294, Correct Period,  5.587840429957292 d, 4.77774 d, Correct t0 value, Found Correct Transit
Planet A1.52,  23.978805782326972, 359.76665 d, 1.2611771681359585, Wrong Period,  3.5560816163349624 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A1.53,  29.06739120935635, 1.12969 d, 6.093813467600295e-05, Wrong Period,  5.727260002215814 d, 0.84207 d, Correct t0 value, Transit not found
Planet A1.54,  40.21535186770167, 2.04368 d, 0.00013432601097074226, Wrong Period,  4.226584716564532 d, 1.03212 d, Correct t0 value, Transit not found
Planet A1.55,  20.909926052759108, 251.68550 d, 0.575876969820456, Wrong Period,  2.1153055784883117 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A1.56,  44.62262573386174, 4.82069 d, 0.0008435640949762124, Wrong Period,  25.160769608023195 d, 4.77774 d, Wrong t0 value, Transit not found
