Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet A5.1,  24.789834966562452, 24.78960 d, 0.01123112579029062, Correct Period,  10.949217684949483 d, 10.95511 d, Correct t0 value, Found Correct Transit
Planet A5.2,  0.26756199143251613, 0.80269 d, 0.00011591217891071537, Correct Period,  0.22568968470271317 d, 0.75774 d, Correct t0 value, Found Correct Transit
Planet A5.3,  3.9238192107195897, 3.92393 d, 0.0012822246945103366, Correct Period,  3.017631960767374 d, 3.00794 d, Correct t0 value, Found Correct Transit
Planet A5.4,  32.34358709177629, 32.34635 d, 0.016013915198794137, Correct Period,  8.914967267231528 d, 8.89405 d, Correct t0 value, Found Correct Transit
Planet A5.5,  67.23881080428409, 67.24176 d, 0.0424863425983375, Correct Period,  11.380882928590797 d, 11.37948 d, Correct t0 value, Found Correct Transit
Planet A5.6,  21.029202767167547, 21.02850 d, 0.01052276608315772, Correct Period,  19.248483008382642 d, 19.26759 d, Correct t0 value, Found Correct Transit
Planet A5.7,  65.73640713592681, 65.73516 d, 0.048098867112464916, Correct Period,  9.969205196712975 d, 9.98095 d, Correct t0 value, Found Correct Transit
Planet A5.8,  63.68549895491916, 63.67688 d, 0.046101280880424866, Correct Period,  49.65618974623333 d, 49.70792 d, Correct t0 value, Found Correct Transit
Planet A5.9,  66.33122561509947, 66.34347 d, 0.05564168492190902, Correct Period,  5.982644877086007 d, 5.91525 d, Correct t0 value, Found Correct Transit
Planet A5.10,  37.012939737388066, 37.01569 d, 0.02555742637072811, Correct Period,  24.3867562588228 d, 24.36904 d, Correct t0 value, Found Correct Transit
Planet A6.1,  35.94711808066435, 35.95041 d, 0.0215063285889876, Correct Period,  7.213436710420328 d, 7.16910 d, Correct t0 value, Found Correct Transit
Planet A6.2,  7.318097705891666, 7.31815 d, 0.002575774570944489, Correct Period,  3.156501514103051 d, 3.15837 d, Correct t0 value, Found Correct Transit
Planet A6.3,  73.42430677950561, 360.03184 d, 0.5968108817918392, Wrong Period,  16.19894950461924 d, 314.96138 d, Wrong t0 value, Transit not found
Planet A6.4,  68.66996631637886, 68.67809 d, 0.043700681249177364, Correct Period,  68.66626632772773 d, 68.62593 d, Correct t0 value, Found Correct Transit
Planet A6.5,  71.85680333770259, 71.86122 d, 0.04640861740937652, Correct Period,  1.9981265267184936 d, 1.98755 d, Correct t0 value, Found Correct Transit
Planet A6.6,  17.38064505515751, 17.38048 d, 0.008160574660006858, Correct Period,  17.25993193407299 d, 17.26061 d, Correct t0 value, Found Correct Transit
