Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet C6.6,  204.5777231905702, 204.52266 d, 0.2184847159934975, Correct Period,  184.5413284750246 d, 184.58290 d, Correct t0 value, Found Correct Transit
Planet C6.7,  199.6552925261215, 199.67034 d, 0.18133517232165275, Correct Period,  14.50719750341235 d, 14.45760 d, Correct t0 value, Found Correct Transit
Planet C6.8,  224.50976763008407, 224.52038 d, 0.21203375076115094, Correct Period,  169.5768115516606 d, 169.54938 d, Correct t0 value, Found Correct Transit
Planet C6.9,  208.60812802611605, 208.63364 d, 0.19234798943170972, Correct Period,  21.962256897051507 d, 21.93121 d, Correct t0 value, Found Correct Transit
Planet C6.10,  190.5966560397393, 190.58697 d, 0.17042039873837211, Correct Period,  54.414397494768814 d, 54.29303 d, Correct t0 value, Found Correct Transit
Planet D1.1,  260.10995494775216, 358.97266 d, 1.3220252707883162, Wrong Period,  75.3629536880644 d, 179.87142 d, Wrong t0 value, Transit not found
Planet D1.2,  245.95879152441333, 358.18101 d, 1.3187856062284027, Wrong Period,  211.01017524124916 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D1.3,  274.64386164987, 358.18101 d, 1.3187856062284027, Wrong Period,  227.75618006532383 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D1.4,  227.12520388888632, 360.43010 d, 1.1956799059398406, Wrong Period,  30.99846054680574 d, 359.46733 d, Wrong t0 value, Transit not found
Planet D1.5,  241.64132748145119, 179.92541 d, 0.42104265531776264, Wrong Period,  8.611563028658125 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D1.6,  267.7485105309949, 359.89921 d, 0.9932220343062568, Wrong Period,  105.38392360691095 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D1.7,  299.7003439891994, 299.83590 d, 0.36387823448413315, Correct Period,  167.47922896989965 d, 167.39412 d, Correct t0 value, Found Correct Transit
Planet D1.8,  234.84001179329576, 360.16453 d, 0.9971335557038401, Wrong Period,  41.751690703281746 d, 358.99891 d, Wrong t0 value, Transit not found
Planet D1.9,  271.01000717630626, 360.43010 d, 1.2624173408806882, Wrong Period,  44.63181651969121 d, 359.46733 d, Wrong t0 value, Transit not found
Planet D1.10,  264.98742937753093, 179.92541 d, 0.42104265531776264, Wrong Period,  4.939002129039565 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D2.1,  238.03335517538673, 359.89921 d, 0.9932220343062568, Wrong Period,  92.78782230890735 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D2.2,  276.9010868481838, 360.43010 d, 1.2624173408806882, Wrong Period,  162.72230865912482 d, 359.46733 d, Wrong t0 value, Transit not found
Planet D2.3,  264.7698289169677, 264.62198 d, 0.26397646389793294, Correct Period,  138.47693165467544 d, 138.51403 d, Correct t0 value, Found Correct Transit
Planet D2.4,  286.74698618549996, 360.56299 d, 0.9971335557038401, Wrong Period,  266.88581779667714 d, 358.89034 d, Wrong t0 value, Transit not found
Planet D2.5,  252.08640384369298, 207.42066 d, 0.34983547817573424, Wrong Period,  103.6880436468324 d, 106.92135 d, Correct t0 value, Transit not found
Planet D2.6,  240.27583425279198, 358.18101 d, 1.3187856062284027, Wrong Period,  206.10959656454287 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D2.7,  234.72544609472197, 234.71328 d, 0.224964609804843, Correct Period,  220.9749505553185 d, 220.95330 d, Correct t0 value, Found Correct Transit
Planet D2.8,  293.9375770529311, 360.43010 d, 1.2624173408806882, Wrong Period,  68.24828698755356 d, 359.46733 d, Wrong t0 value, Transit not found
Planet D2.9,  279.352533542572, 358.97266 d, 1.3220252707883162, Wrong Period,  105.84649659428007 d, 179.87142 d, Wrong t0 value, Transit not found
Planet D2.10,  277.6007322119549, 358.97266 d, 1.3220252707883162, Wrong Period,  9.475274060145605 d, 179.87142 d, Wrong t0 value, Transit not found
Planet D3.1,  236.36969915115316, 10.57827 d, 0.0018042074749571313, Wrong Period,  54.75212218943849 d, 9.35757 d, Wrong t0 value, Transit not found
Planet D3.2,  274.70570262130195, 179.92541 d, 0.42104265531776264, Wrong Period,  46.41302309849327 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D3.3,  245.86135192421136, 207.42066 d, 0.34983547817573424, Wrong Period,  215.93721608648735 d, 106.92135 d, Wrong t0 value, Transit not found
Planet D3.4,  251.7920328731823, 234.48846 d, 0.14978486828995585, Wrong Period,  110.49447491376942 d, 110.43611 d, Correct t0 value, Transit not found
Planet D3.5,  245.6326487146124, 358.18101 d, 1.3187856062284027, Wrong Period,  46.081938645861136 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D3.6,  280.5239135970048, 179.92541 d, 0.42104265531776264, Wrong Period,  160.36653732962222 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D3.7,  231.13484020221034, 359.89921 d, 0.927234541296599, Wrong Period,  3.4184955132063934 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D3.8,  228.27857674129822, 359.89921 d, 0.927234541296599, Wrong Period,  57.078092866371044 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D3.9,  298.7304171025571, 360.43010 d, 1.2624173408806882, Wrong Period,  117.51433840728149 d, 359.46733 d, Wrong t0 value, Transit not found
Planet D3.10,  299.6643492291621, 10.57827 d, 0.0018042074749571313, Wrong Period,  204.35190370321664 d, 9.37349 d, Wrong t0 value, Transit not found
Planet D4.1,  241.1585735178665, 360.43010 d, 1.0633481717030406, Wrong Period,  14.918481386801837 d, 268.95562 d, Wrong t0 value, Transit not found
Planet D4.2,  290.6160728534802, 360.56299 d, 0.9971335557038401, Wrong Period,  194.87174877029105 d, 358.89034 d, Wrong t0 value, Transit not found
Planet D4.3,  227.03738478596716, 4.75507 d, 0.0006211807548703874, Wrong Period,  104.21695174908191 d, 1.36450 d, Wrong t0 value, Transit not found
Planet D4.4,  251.21573344479987, 358.18101 d, 1.3187856062284027, Wrong Period,  171.79138454321523 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D4.5,  232.72469286855934, 10.57827 d, 0.0018042074749571313, Wrong Period,  37.65896758227722 d, 9.36327 d, Wrong t0 value, Transit not found
Planet D4.6,  275.76596379862644, 358.18101 d, 1.3187856062284027, Wrong Period,  40.22231168698018 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D4.7,  291.97539324175193, 244.73803 d, 0.7514581975569143, Wrong Period,  50.34915614196105 d, 50.08466 d, Correct t0 value, Transit not found
Planet D4.8,  281.08666617057054, 179.92541 d, 0.42104265531776264, Wrong Period,  128.8930777538982 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D4.9,  285.992116808867, 359.76665 d, 0.9932220343062568, Wrong Period,  261.7354873086684 d, 314.14718 d, Wrong t0 value, Transit not found
Planet D4.10,  270.70160186802957, 179.92541 d, 0.42104265531776264, Wrong Period,  26.56258779319383 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D5.1,  249.59626077102993, 358.18101 d, 1.3187856062284027, Wrong Period,  78.25555299893742 d, 135.86001 d, Wrong t0 value, Transit not found
Planet D5.2,  255.28451577569257, 255.25800 d, 0.33560797183019986, Correct Period,  71.4623639090874 d, 71.47707 d, Correct t0 value, Found Correct Transit
Planet D5.3,  291.66132596085833, 358.97266 d, 1.3220252707883162, Wrong Period,  271.9115362008371 d, 179.87142 d, Wrong t0 value, Transit not found
Planet D5.4,  282.27638995941436, 359.89921 d, 0.9932220343062568, Wrong Period,  105.7543870159208 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D5.5,  249.22479206316143, 249.15123 d, 0.20304599796652667, Correct Period,  209.09634186712563 d, 41.08552 d, Wrong t0 value, Transit not found
Planet D5.6,  281.54966476183, 281.49608 d, 0.3822076158073173, Correct Period,  8.000360036365864 d, 8.09004 d, Correct t0 value, Found Correct Transit
Planet D5.7,  277.3238350584258, 179.92541 d, 0.42104265531776264, Wrong Period,  7.739614991856612 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D5.8,  279.09545683733535, 360.43010 d, 1.1295302818001005, Wrong Period,  269.4330261053152 d, 268.95562 d, Correct t0 value, Transit not found
Planet D5.9,  285.81713503054834, 359.76665 d, 0.9932220343062568, Wrong Period,  218.8522425455467 d, 314.14718 d, Wrong t0 value, Transit not found
Planet D5.10,  296.211053340698, 230.49033 d, 0.43935467431663255, Wrong Period,  37.84740661758692 d, 37.79075 d, Correct t0 value, Transit not found
Planet D6.1,  290.08153129024885, 290.07491 d, 0.24869222035428606, Correct Period,  98.3869818789747 d, 98.39145 d, Correct t0 value, Found Correct Transit
Planet D6.2,  247.55762747611698, 179.92541 d, 0.42104265531776264, Wrong Period,  94.69045479347533 d, 134.75523 d, Wrong t0 value, Transit not found
Planet D6.3,  237.22278290699197, 237.20539 d, 0.266237803052789, Correct Period,  235.57243098961337 d, 235.58251 d, Correct t0 value, Found Correct Transit
Planet D6.4,  232.73208539681642, 232.77434 d, 0.14832673488210446, Correct Period,  10.358405066774736 d, 10.27986 d, Correct t0 value, Found Correct Transit
Planet D6.5,  253.17084817924663, 253.17280 d, 0.20742780132216865, Correct Period,  125.70176686612025 d, 125.72729 d, Correct t0 value, Found Correct Transit
Planet D6.6,  248.86608775238145, 360.43010 d, 0.9966435637865629, Wrong Period,  14.163478518719167 d, 268.95562 d, Wrong t0 value, Transit not found
Planet D6.7,  273.8368171082615, 273.80400 d, 0.2302677625547176, Correct Period,  33.92062145248554 d, 33.94220 d, Correct t0 value, Found Correct Transit
Planet D6.8,  226.7169104085638, 226.72572 d, 0.17897497653736139, Correct Period,  133.74414319411315 d, 180.76897 d, Wrong t0 value, Transit not found
Planet D6.9,  265.08167967886067, 359.89921 d, 0.9932220343062568, Wrong Period,  41.12995628931237 d, 314.01551 d, Wrong t0 value, Transit not found
Planet D6.10,  259.98775156709223, 260.01265 d, 0.5150462932233211, Correct Period,  110.75523913549678 d, 110.40367 d, Correct t0 value, Found Correct Transit
 
 Finished the calculations, the success rate of detecting the planets is: 43.333333
